os_numero,vendedor,vendedor_uuid,vendedor_nome_normalizado,data_movimento,loja_nome,loja_id,carne,canal_captacao_uuid,canal_captacao_nome,arquivo_origem,data_processamento,versao_arquivo,tabela_origem
4110,BETH,d2eb5739-5887-4c3f-86e9-822f60469650,MARIA ELIZABETH,2024-04-01,MAUA,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,Não,48ee4195-2255-475a-98da-176908111bd2,04 CLIENTES,abr_24.xlsx,2025-10-30 13:29:28.650627,FINAL_BANCO_COMPLETO_v1.0,os_entregues_dia
4117,BETH,d2eb5739-5887-4c3f-86e9-822f60469650,MARIA ELIZABETH,2024-04-01,MAUA,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,Não,002e25a7-d726-4a10-bf04-dab43dfe7c37,17 - ABORDAGEM,abr_24.xlsx,2025-10-30 13:29:28.650627,FINAL_BANCO_COMPLETO_v1.0,os_entregues_dia
4098,BETH,d2eb5739-5887-4c3f-86e9-822f60469650,MARIA ELIZABETH,2024-04-02,MAUA,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,Sim,48ee4195-2255-475a-98da-176908111bd2,04 CLIENTES,abr_24.xlsx,2025-10-30 13:29:28.650627,FINAL_BANCO_COMPLETO_v1.0,os_entregues_dia
4098,3,d2eb5739-5887-4c3f-86e9-822f60469650,MARIA ELIZABETH,2024-04-02,MAUA,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,399,48ee4195-2255-475a-98da-176908111bd2,04 CLIENTES,abr_24.xlsx,2025-10-30 13:29:28.650627,FINAL_BANCO_COMPLETO_v1.0,os_entregues_dia
4156,BETH,d2eb5739-5887-4c3f-86e9-822f60469650,MARIA ELIZABETH,2024-04-03,MAUA,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,Não,ca5f81c8-de87-4ee2-9dac-c7951cbf2764,15 - ORÇAMENTO,abr_24.xlsx,2025-10-30 13:29:28.650627,FINAL_BANCO_COMPLETO_v1.0,os_entregues_dia
4136,BETH,d2eb5739-5887-4c3f-86e9-822f60469650,MARIA ELIZABETH,2024-04-04,MAUA,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,Não,002e25a7-d726-4a10-bf04-dab43dfe7c37,17 - ABORDAGEM,abr_24.xlsx,2025-10-30 13:29:28.650627,FINAL_BANCO_COMPLETO_v1.0,os_entregues_dia
4126,BETH,d2eb5739-5887-4c3f-86e9-822f60469650,MARIA ELIZABETH,2024-04-04,MAUA,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,Não,48ee4195-2255-475a-98da-176908111bd2,04 CLIENTES,abr_24.xlsx,2025-10-30 13:29:28.650627,FINAL_BANCO_COMPLETO_v1.0,os_entregues_dia
4033,BETH,d2eb5739-5887-4c3f-86e9-822f60469650,MARIA ELIZABETH,2024-04-05,MAUA,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,SIM,,,abr_24.xlsx,2025-10-30 13:29:28.650627,FINAL_BANCO_COMPLETO_v1.0,os_entregues_dia
4034,BETH,d2eb5739-5887-4c3f-86e9-822f60469650,MARIA ELIZABETH,2024-04-05,MAUA,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,SIM,,,abr_24.xlsx,2025-10-30 13:29:28.650627,FINAL_BANCO_COMPLETO_v1.0,os_entregues_dia
4033,6,d2eb5739-5887-4c3f-86e9-822f60469650,MARIA ELIZABETH,2024-04-05,MAUA,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,1884,,,abr_24.xlsx,2025-10-30 13:29:28.650627,FINAL_BANCO_COMPLETO_v1.0,os_entregues_dia
4128,BETH,d2eb5739-5887-4c3f-86e9-822f60469650,MARIA ELIZABETH,2024-04-06,MAUA,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,Não,7742d933-20a1-4d3b-9f46-9c38506d00b9,38 - DIVULGADOR,abr_24.xlsx,2025-10-30 13:29:28.650627,FINAL_BANCO_COMPLETO_v1.0,os_entregues_dia
4071,BETH,d2eb5739-5887-4c3f-86e9-822f60469650,MARIA ELIZABETH,2024-04-08,MAUA,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,Não,ca5f81c8-de87-4ee2-9dac-c7951cbf2764,15 - ORÇAMENTO,abr_24.xlsx,2025-10-30 13:29:28.650627,FINAL_BANCO_COMPLETO_v1.0,os_entregues_dia
