os,vendedor,carne,linha_origem,tabela_tipo,aba_origem,valores_brutos,data_movimento,loja_celula,loja_arquivo,arquivo_origem,os_numero
3467,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,1,"[3467, 'ROSÂNGELA', 'Não']",2024-04-01 00:00:00,,rio_pequeno,abr_24.xlsx,3467
3466,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,2,"[3466, 'ROSÂNGELA', 'Não']",2024-04-02 00:00:00,,rio_pequeno,abr_24.xlsx,3466
3446,ROSÂNGELA,Não,16,OS_ENTREGUES_DIA,2,"[3446, 'ROSÂNGELA', 'Não']",2024-04-02 00:00:00,,rio_pequeno,abr_24.xlsx,3446
3471,ROSÂNGELA,Não,17,OS_ENTREGUES_DIA,2,"[3471, 'ROSÂNGELA', 'Não']",2024-04-02 00:00:00,,rio_pequeno,abr_24.xlsx,3471
3472,ROSÂNGELA,Não,18,OS_ENTREGUES_DIA,2,"[3472, 'ROSÂNGELA', 'Não']",2024-04-02 00:00:00,,rio_pequeno,abr_24.xlsx,3472
3305,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,4,"[3305, 'ROSÂNGELA', 'Não']",2024-04-04 00:00:00,,rio_pequeno,abr_24.xlsx,3305
3477,ROSÂNGELA,Não,16,OS_ENTREGUES_DIA,4,"[3477, 'ROSÂNGELA', 'Não']",2024-04-04 00:00:00,,rio_pequeno,abr_24.xlsx,3477
3470,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,5,"[3470, 'ROSÂNGELA', 'Não']",2024-04-05 00:00:00,,rio_pequeno,abr_24.xlsx,3470
3453,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,6,"[3453, 'ROSÂNGELA', 'Não']",2024-04-06 00:00:00,,rio_pequeno,abr_24.xlsx,3453
3492,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,9,"[3492, 'ROGÉRIO', 'Não']",2024-04-09 00:00:00,,rio_pequeno,abr_24.xlsx,3492
3449,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,10,"[3449, 'ROSÂNGELA', 'Não']",2024-04-10 00:00:00,,rio_pequeno,abr_24.xlsx,3449
3459,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,16,"[3459, 'ROSÂNGELA', 'Não']",2024-04-16 00:00:00,,rio_pequeno,abr_24.xlsx,3459
3488,ROSÂNGELA,Não,16,OS_ENTREGUES_DIA,16,"[3488, 'ROSÂNGELA', 'Não']",2024-04-16 00:00:00,,rio_pequeno,abr_24.xlsx,3488
3495,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,19,"[3495, 'ROSÂNGELA', 'Não']",2024-04-19 00:00:00,,rio_pequeno,abr_24.xlsx,3495
3494,ROSÂNGELA,Não,16,OS_ENTREGUES_DIA,19,"[3494, 'ROSÂNGELA', 'Não']",2024-04-19 00:00:00,,rio_pequeno,abr_24.xlsx,3494
3484,ROSÂNGELA,Não,17,OS_ENTREGUES_DIA,19,"[3484, 'ROSÂNGELA', 'Não']",2024-04-19 00:00:00,,rio_pequeno,abr_24.xlsx,3484
3504,ROSÂNGELA,Não,18,OS_ENTREGUES_DIA,19,"[3504, 'ROSÂNGELA', 'Não']",2024-04-19 00:00:00,,rio_pequeno,abr_24.xlsx,3504
3486,ROSÂNGELA,Sim,15,OS_ENTREGUES_DIA,22,"[3486, 'ROSÂNGELA', 'Sim']",2024-04-22 00:00:00,,rio_pequeno,abr_24.xlsx,3486
3500,ROSÂNGELA,Não,16,OS_ENTREGUES_DIA,22,"[3500, 'ROSÂNGELA', 'Não']",2024-04-22 00:00:00,,rio_pequeno,abr_24.xlsx,3500
3473,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,24,"[3473, 'ROSÂNGELA', 'Não']",2024-04-24 00:00:00,,rio_pequeno,abr_24.xlsx,3473
3503,ROSÂNGELA,Não,16,OS_ENTREGUES_DIA,24,"[3503, 'ROSÂNGELA', 'Não']",2024-04-24 00:00:00,,rio_pequeno,abr_24.xlsx,3503
3499,ROSÂNGELA,Não,17,OS_ENTREGUES_DIA,24,"[3499, 'ROSÂNGELA', 'Não']",2024-04-24 00:00:00,,rio_pequeno,abr_24.xlsx,3499
3501,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,25,"[3501, 'ROSÂNGELA', 'Não']",2024-04-25 00:00:00,,rio_pequeno,abr_24.xlsx,3501
3457,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,26,"[3457, 'ROSÂNGELA', 'Não']",2024-04-26 00:00:00,,rio_pequeno,abr_24.xlsx,3457
3447,ROSÂNGELA,Não,16,OS_ENTREGUES_DIA,26,"[3447, 'ROSÂNGELA', 'Não']",2024-04-26 00:00:00,,rio_pequeno,abr_24.xlsx,3447
3485,ROSÂNGELA,Sim,17,OS_ENTREGUES_DIA,26,"[3485, 'ROSÂNGELA', 'Sim']",2024-04-26 00:00:00,,rio_pequeno,abr_24.xlsx,3485
3504,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,27,"[3504, 'ROSÂNGELA', 'Não']",2024-04-27 00:00:00,,rio_pequeno,abr_24.xlsx,3504
3464,ROSÂNGELA,Não,16,OS_ENTREGUES_DIA,27,"[3464, 'ROSÂNGELA', 'Não']",2024-04-27 00:00:00,,rio_pequeno,abr_24.xlsx,3464
3505,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,29,"[3505, 'ROSÂNGELA', 'Não']",2024-04-29 00:00:00,,rio_pequeno,abr_24.xlsx,3505
2716,bruno,Sim,15,OS_ENTREGUES_DIA,15,"[2716, 'bruno', 'Sim']",2023-08-15 00:00:00,,rio_pequeno,ago_23.xlsx,2716
2603,bruno,Sim,16,OS_ENTREGUES_DIA,15,"[2603, 'bruno', 'Sim']",2023-08-15 00:00:00,,rio_pequeno,ago_23.xlsx,2603
2852,bruno,Sim,17,OS_ENTREGUES_DIA,15,"[2852, 'bruno', 'Sim']",2023-08-15 00:00:00,,rio_pequeno,ago_23.xlsx,2852
2941,Rosângela,Não,15,OS_ENTREGUES_DIA,16,"[2941, 'Rosângela', 'Não']",2023-08-16 00:00:00,,rio_pequeno,ago_23.xlsx,2941
2965,Rosângela,Não,15,OS_ENTREGUES_DIA,17,"[2965, 'Rosângela', 'Não']",2023-08-17 00:00:00,,rio_pequeno,ago_23.xlsx,2965
2938,Rosângela,Não,16,OS_ENTREGUES_DIA,17,"[2938, 'Rosângela', 'Não']",2023-08-17 00:00:00,,rio_pequeno,ago_23.xlsx,2938
2953,Rosângela,Não,15,OS_ENTREGUES_DIA,18,"[2953, 'Rosângela', 'Não']",2023-08-18 00:00:00,,rio_pequeno,ago_23.xlsx,2953
2943,Rosângela,Não,16,OS_ENTREGUES_DIA,18,"[2943, 'Rosângela', 'Não']",2023-08-18 00:00:00,,rio_pequeno,ago_23.xlsx,2943
2987,Bruno,Não,15,OS_ENTREGUES_DIA,19,"[2987, 'Bruno', 'Não']",2023-08-19 00:00:00,,rio_pequeno,ago_23.xlsx,2987
2982,Bruno,Não,16,OS_ENTREGUES_DIA,19,"[2982, 'Bruno', 'Não']",2023-08-19 00:00:00,,rio_pequeno,ago_23.xlsx,2982
2971,Bruno,Não,17,OS_ENTREGUES_DIA,19,"[2971, 'Bruno', 'Não']",2023-08-19 00:00:00,,rio_pequeno,ago_23.xlsx,2971
2950,Rosângela,Não,18,OS_ENTREGUES_DIA,19,"[2950, 'Rosângela', 'Não']",2023-08-19 00:00:00,,rio_pequeno,ago_23.xlsx,2950
2969,Bruno,Não,15,OS_ENTREGUES_DIA,21,"[2969, 'Bruno', 'Não']",2023-08-21 00:00:00,,rio_pequeno,ago_23.xlsx,2969
2973,Bruno,Não,16,OS_ENTREGUES_DIA,21,"[2973, 'Bruno', 'Não']",2023-08-21 00:00:00,,rio_pequeno,ago_23.xlsx,2973
2846,Bruno,Não,17,OS_ENTREGUES_DIA,21,"[2846, 'Bruno', 'Não']",2023-08-21 00:00:00,,rio_pequeno,ago_23.xlsx,2846
2939,ROSANGELA,Não,15,OS_ENTREGUES_DIA,22,"[2939, 'ROSANGELA', 'Não']",2023-08-22 00:00:00,,rio_pequeno,ago_23.xlsx,2939
2962,BRUNO,Não,16,OS_ENTREGUES_DIA,22,"[2962, 'BRUNO', 'Não']",2023-08-22 00:00:00,,rio_pequeno,ago_23.xlsx,2962
2985,ROSANGELA,Não,17,OS_ENTREGUES_DIA,22,"[2985, 'ROSANGELA', 'Não']",2023-08-22 00:00:00,,rio_pequeno,ago_23.xlsx,2985
2983,ROSANGELA,Não,15,OS_ENTREGUES_DIA,23,"[2983, 'ROSANGELA', 'Não']",2023-08-23 00:00:00,,rio_pequeno,ago_23.xlsx,2983
2986,ROSANGELA,Não,16,OS_ENTREGUES_DIA,23,"[2986, 'ROSANGELA', 'Não']",2023-08-23 00:00:00,,rio_pequeno,ago_23.xlsx,2986
2974,ROSANGELA,Não,17,OS_ENTREGUES_DIA,23,"[2974, 'ROSANGELA', 'Não']",2023-08-23 00:00:00,,rio_pequeno,ago_23.xlsx,2974
2959,ROSANGELA,Não,18,OS_ENTREGUES_DIA,23,"[2959, 'ROSANGELA', 'Não']",2023-08-23 00:00:00,,rio_pequeno,ago_23.xlsx,2959
2979,BRUNO,Sim,15,OS_ENTREGUES_DIA,24,"[2979, 'BRUNO', 'Sim']",2023-08-24 00:00:00,,rio_pequeno,ago_23.xlsx,2979
2963,BRUNO,Não,15,OS_ENTREGUES_DIA,25,"[2963, 'BRUNO', 'Não']",2023-08-25 00:00:00,,rio_pequeno,ago_23.xlsx,2963
2960,BRUNO,Não,15,OS_ENTREGUES_DIA,26,"[2960, 'BRUNO', 'Não']",2023-08-26 00:00:00,,rio_pequeno,ago_23.xlsx,2960
2955,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,28,"[2955, 'ROSÂNGELA', 'Não']",2023-08-28 00:00:00,,rio_pequeno,ago_23.xlsx,2955
3002,BRUNO,Não,15,OS_ENTREGUES_DIA,29,"[3002, 'BRUNO', 'Não']",2023-08-29 00:00:00,,rio_pequeno,ago_23.xlsx,3002
3000,BRUNO,Não,16,OS_ENTREGUES_DIA,29,"[3000, 'BRUNO', 'Não']",2023-08-29 00:00:00,,rio_pequeno,ago_23.xlsx,3000
3008,BRUNO,Não,17,OS_ENTREGUES_DIA,29,"[3008, 'BRUNO', 'Não']",2023-08-29 00:00:00,,rio_pequeno,ago_23.xlsx,3008
2995,BRUNO,Não,18,OS_ENTREGUES_DIA,29,"[2995, 'BRUNO', 'Não']",2023-08-29 00:00:00,,rio_pequeno,ago_23.xlsx,2995
2966,BRUNO,Não,15,OS_ENTREGUES_DIA,30,"[2966, 'BRUNO', 'Não']",2023-08-30 00:00:00,,rio_pequeno,ago_23.xlsx,2966
2991,BRUNO,Não,16,OS_ENTREGUES_DIA,30,"[2991, 'BRUNO', 'Não']",2023-08-30 00:00:00,,rio_pequeno,ago_23.xlsx,2991
3014,BRUNO,Não,17,OS_ENTREGUES_DIA,30,"[3014, 'BRUNO', 'Não']",2023-08-30 00:00:00,,rio_pequeno,ago_23.xlsx,3014
2990,BRUNO,Não,18,OS_ENTREGUES_DIA,30,"[2990, 'BRUNO', 'Não']",2023-08-30 00:00:00,,rio_pequeno,ago_23.xlsx,2990
2984,BRUNO,Sim,15,OS_ENTREGUES_DIA,31,"[2984, 'BRUNO', 'Sim']",2023-08-31 00:00:00,,rio_pequeno,ago_23.xlsx,2984
