os,vendedor,carne,linha_origem,tabela_tipo,aba_origem,valores_brutos,data_movimento,loja_celula,loja_arquivo,arquivo_origem,os_numero
8965,JOCY,Não,15,OS_ENTREGUES_DIA,1,"[8965, 'JOCY', 'Não']",2024-04-01 00:00:00,,suzano,abr_24.xlsx,8965
8938,ARIANI,Não,16,OS_ENTREGUES_DIA,1,"[8938, 'ARIANI', 'Não']",2024-04-01 00:00:00,,suzano,abr_24.xlsx,8938
8737,JOCY,Não,15,OS_ENTREGUES_DIA,3,"[8737, 'JOCY', 'Não']",2024-04-03 00:00:00,,suzano,abr_24.xlsx,8737
8738,JOCY,Não,16,OS_ENTREGUES_DIA,3,"[8738, 'JOCY', 'Não']",2024-04-03 00:00:00,,suzano,abr_24.xlsx,8738
8929,ARIANI,Não,17,OS_ENTREGUES_DIA,3,"[8929, 'ARIANI', 'Não']",2024-04-03 00:00:00,,suzano,abr_24.xlsx,8929
8955,TATY,Não,18,OS_ENTREGUES_DIA,3,"[8955, 'TATY', 'Não']",2024-04-03 00:00:00,,suzano,abr_24.xlsx,8955
8925,JOCY,Não,15,OS_ENTREGUES_DIA,4,"[8925, 'JOCY', 'Não']",2024-04-04 00:00:00,,suzano,abr_24.xlsx,8925
8775,TATY,Não,16,OS_ENTREGUES_DIA,4,"[8775, 'TATY', 'Não']",2024-04-04 00:00:00,,suzano,abr_24.xlsx,8775
8931,JOCY,Não,17,OS_ENTREGUES_DIA,4,"[8931, 'JOCY', 'Não']",2024-04-04 00:00:00,,suzano,abr_24.xlsx,8931
8790,TATY,Não,18,OS_ENTREGUES_DIA,4,"[8790, 'TATY', 'Não']",2024-04-04 00:00:00,,suzano,abr_24.xlsx,8790
8896,TATY,Não,19,OS_ENTREGUES_DIA,4,"[8896, 'TATY', 'Não']",2024-04-04 00:00:00,,suzano,abr_24.xlsx,8896
8850,TATY,SIM,15,OS_ENTREGUES_DIA,5,"[8850, 'TATY', 'SIM']",2024-04-05 00:00:00,,suzano,abr_24.xlsx,8850
8825,ARIANI,NÃO,16,OS_ENTREGUES_DIA,5,"[8825, 'ARIANI', 'NÃO']",2024-04-05 00:00:00,,suzano,abr_24.xlsx,8825
8836,TATY,Não,17,OS_ENTREGUES_DIA,5,"[8836, 'TATY', 'Não']",2024-04-05 00:00:00,,suzano,abr_24.xlsx,8836
8863,TATY,Não,18,OS_ENTREGUES_DIA,5,"[8863, 'TATY', 'Não']",2024-04-05 00:00:00,,suzano,abr_24.xlsx,8863
8864,TATY,Não,19,OS_ENTREGUES_DIA,5,"[8864, 'TATY', 'Não']",2024-04-05 00:00:00,,suzano,abr_24.xlsx,8864
8913,TATY,Não,20,OS_ENTREGUES_DIA,5,"[8913, 'TATY', 'Não']",2024-04-05 00:00:00,,suzano,abr_24.xlsx,8913
8910,JOCY,Não,21,OS_ENTREGUES_DIA,5,"[8910, 'JOCY', 'Não']",2024-04-05 00:00:00,,suzano,abr_24.xlsx,8910
8702,JOCY,Não,22,OS_ENTREGUES_DIA,5,"[8702, 'JOCY', 'Não']",2024-04-05 00:00:00,,suzano,abr_24.xlsx,8702
8847,TATY,Sim,15,OS_ENTREGUES_DIA,6,"[8847, 'TATY', 'Sim']",2024-04-06 00:00:00,,suzano,abr_24.xlsx,8847
8414,JOCY,Sim,16,OS_ENTREGUES_DIA,6,"[8414, 'JOCY', 'Sim']",2024-04-06 00:00:00,,suzano,abr_24.xlsx,8414
8872,TATY,Não,17,OS_ENTREGUES_DIA,6,"[8872, 'TATY', 'Não']",2024-04-06 00:00:00,,suzano,abr_24.xlsx,8872
8922,JOCY,Não,18,OS_ENTREGUES_DIA,6,"[8922, 'JOCY', 'Não']",2024-04-06 00:00:00,,suzano,abr_24.xlsx,8922
8921,JOCY,Não,19,OS_ENTREGUES_DIA,6,"[8921, 'JOCY', 'Não']",2024-04-06 00:00:00,,suzano,abr_24.xlsx,8921
8886,JOCY,Não,20,OS_ENTREGUES_DIA,6,"[8886, 'JOCY', 'Não']",2024-04-06 00:00:00,,suzano,abr_24.xlsx,8886
8982,ARIANI,Não,21,OS_ENTREGUES_DIA,6,"[8982, 'ARIANI', 'Não']",2024-04-06 00:00:00,,suzano,abr_24.xlsx,8982
8937,TATY,Não,15,OS_ENTREGUES_DIA,8,"[8937, 'TATY', 'Não']",2024-04-08 00:00:00,,suzano,abr_24.xlsx,8937
8945,ARIANI,Não,16,OS_ENTREGUES_DIA,8,"[8945, 'ARIANI', 'Não']",2024-04-08 00:00:00,,suzano,abr_24.xlsx,8945
8889,ARIANI,Não,17,OS_ENTREGUES_DIA,8,"[8889, 'ARIANI', 'Não']",2024-04-08 00:00:00,,suzano,abr_24.xlsx,8889
8727,TATY,Não,18,OS_ENTREGUES_DIA,8,"[8727, 'TATY', 'Não']",2024-04-08 00:00:00,,suzano,abr_24.xlsx,8727
8954,TATY,Não,19,OS_ENTREGUES_DIA,8,"[8954, 'TATY', 'Não']",2024-04-08 00:00:00,,suzano,abr_24.xlsx,8954
9003,ARIANI,Não,20,OS_ENTREGUES_DIA,8,"[9003, 'ARIANI', 'Não']",2024-04-08 00:00:00,,suzano,abr_24.xlsx,9003
