os,vendedor,carne,linha_origem,tabela_tipo,aba_origem,valores_brutos,data_movimento,loja_celula,loja_arquivo,arquivo_origem,os_numero,loja_nome_padrao,loja_id,vendedor_uuid,vendedor_nome_normalizado,canal_captacao_uuid,canal_captacao_nome
4110,BETH,Não,15,OS_ENTREGUES_DIA,1,"[4110, 'BETH', 'Não']",2024-04-01 00:00:00,,maua,abr_24.xlsx,4110,TODAS_LOJAS,,,,,
4117,BETH,Não,16,OS_ENTREGUES_DIA,1,"[4117, 'BETH', 'Não']",2024-04-01 00:00:00,,maua,abr_24.xlsx,4117,TODAS_LOJAS,,,,,
4098,BETH,Sim,15,OS_ENTREGUES_DIA,2,"[4098, 'BETH', 'Sim']",2024-04-02 00:00:00,,maua,abr_24.xlsx,4098,TODAS_LOJAS,,,,,
4098,3,399,35,OS_ENTREGUES_DIA,2,"[4098, 3, 399]",2024-04-02 00:00:00,,maua,abr_24.xlsx,4098,TODAS_LOJAS,,,,,
4156,BETH,Não,15,OS_ENTREGUES_DIA,3,"[4156, 'BETH', 'Não']",2024-04-03 00:00:00,,maua,abr_24.xlsx,4156,TODAS_LOJAS,,,,,
4136,BETH,Não,15,OS_ENTREGUES_DIA,4,"[4136, 'BETH', 'Não']",2024-04-04 00:00:00,,maua,abr_24.xlsx,4136,TODAS_LOJAS,,,,,
4126,BETH,Não,16,OS_ENTREGUES_DIA,4,"[4126, 'BETH', 'Não']",2024-04-04 00:00:00,,maua,abr_24.xlsx,4126,TODAS_LOJAS,,,,,
4033,BETH,SIM,15,OS_ENTREGUES_DIA,5,"[4033, 'BETH', 'SIM']",2024-04-05 00:00:00,,maua,abr_24.xlsx,4033,TODAS_LOJAS,,,,,
4034,BETH,SIM,16,OS_ENTREGUES_DIA,5,"[4034, 'BETH', 'SIM']",2024-04-05 00:00:00,,maua,abr_24.xlsx,4034,TODAS_LOJAS,,,,,
4033,6,1884,35,OS_ENTREGUES_DIA,5,"[4033, 6, 1884]",2024-04-05 00:00:00,,maua,abr_24.xlsx,4033,TODAS_LOJAS,,,,,
4128,BETH,Não,15,OS_ENTREGUES_DIA,6,"[4128, 'BETH', 'Não']",2024-04-06 00:00:00,,maua,abr_24.xlsx,4128,TODAS_LOJAS,,,,,
4071,BETH,Não,15,OS_ENTREGUES_DIA,8,"[4071, 'BETH', 'Não']",2024-04-08 00:00:00,,maua,abr_24.xlsx,4071,TODAS_LOJAS,,,,,
4175,BETH,Não,16,OS_ENTREGUES_DIA,8,"[4175, 'BETH', 'Não']",2024-04-08 00:00:00,,maua,abr_24.xlsx,4175,TODAS_LOJAS,,,,,
4097,BETH,Não,15,OS_ENTREGUES_DIA,10,"[4097, 'BETH', 'Não']",2024-04-10 00:00:00,,maua,abr_24.xlsx,4097,TODAS_LOJAS,,,,,
4153,BETH,NAO,16,OS_ENTREGUES_DIA,10,"[4153, 'BETH', 'NAO']",2024-04-10 00:00:00,,maua,abr_24.xlsx,4153,TODAS_LOJAS,,,,,
4108,BETH,Não,17,OS_ENTREGUES_DIA,10,"[4108, 'BETH', 'Não']",2024-04-10 00:00:00,,maua,abr_24.xlsx,4108,TODAS_LOJAS,,,,,
4139,BETH,Não,15,OS_ENTREGUES_DIA,11,"[4139, 'BETH', 'Não']",2024-04-11 00:00:00,,maua,abr_24.xlsx,4139,TODAS_LOJAS,,,,,
4140,BETH,Não,16,OS_ENTREGUES_DIA,11,"[4140, 'BETH', 'Não']",2024-04-11 00:00:00,,maua,abr_24.xlsx,4140,TODAS_LOJAS,,,,,
4155,BETH,Não,17,OS_ENTREGUES_DIA,11,"[4155, 'BETH', 'Não']",2024-04-11 00:00:00,,maua,abr_24.xlsx,4155,TODAS_LOJAS,,,,,
4133,LUANA,Não,15,OS_ENTREGUES_DIA,12,"[4133, 'LUANA', 'Não']",2024-04-12 00:00:00,,maua,abr_24.xlsx,4133,TODAS_LOJAS,,,,,
4125,BETH,Sim,15,OS_ENTREGUES_DIA,13,"[4125, 'BETH', 'Sim']",2024-04-13 00:00:00,,maua,abr_24.xlsx,4125,TODAS_LOJAS,,,,,
4125,5,1000,35,OS_ENTREGUES_DIA,13,"[4125, 5, 1000]",2024-04-13 00:00:00,,maua,abr_24.xlsx,4125,TODAS_LOJAS,,,,,
4159,BETH,Não,15,OS_ENTREGUES_DIA,18,"[4159, 'BETH', 'Não']",2024-04-18 00:00:00,,maua,abr_24.xlsx,4159,TODAS_LOJAS,,,,,
4083,BETH,Não,16,OS_ENTREGUES_DIA,18,"[4083, 'BETH', 'Não']",2024-04-18 00:00:00,,maua,abr_24.xlsx,4083,TODAS_LOJAS,,,,,
4084,BETH,Sim,17,OS_ENTREGUES_DIA,18,"[4084, 'BETH', 'Sim']",2024-04-18 00:00:00,,maua,abr_24.xlsx,4084,TODAS_LOJAS,,,,,
4084,5,140,35,OS_ENTREGUES_DIA,18,"[4084, 5, 140]",2024-04-18 00:00:00,,maua,abr_24.xlsx,4084,TODAS_LOJAS,,,,,
4176,BETH,Não,15,OS_ENTREGUES_DIA,15,"[4176, 'BETH', 'Não']",2024-04-15 00:00:00,,maua,abr_24.xlsx,4176,TODAS_LOJAS,,,,,
4151,BETH,Não,16,OS_ENTREGUES_DIA,15,"[4151, 'BETH', 'Não']",2024-04-15 00:00:00,,maua,abr_24.xlsx,4151,TODAS_LOJAS,,,,,
4146,BETH,Não,17,OS_ENTREGUES_DIA,15,"[4146, 'BETH', 'Não']",2024-04-15 00:00:00,,maua,abr_24.xlsx,4146,TODAS_LOJAS,,,,,
4186,BETH,Não,15,OS_ENTREGUES_DIA,20,"[4186, 'BETH', 'Não']",2024-04-20 00:00:00,,maua,abr_24.xlsx,4186,TODAS_LOJAS,,,,,
4169,BETH,Sim,16,OS_ENTREGUES_DIA,20,"[4169, 'BETH', 'Sim']",2024-04-20 00:00:00,,maua,abr_24.xlsx,4169,TODAS_LOJAS,,,,,
4168,BETH,Sim,17,OS_ENTREGUES_DIA,20,"[4168, 'BETH', 'Sim']",2024-04-20 00:00:00,,maua,abr_24.xlsx,4168,TODAS_LOJAS,,,,,
4150,BETH,Não,18,OS_ENTREGUES_DIA,20,"[4150, 'BETH', 'Não']",2024-04-20 00:00:00,,maua,abr_24.xlsx,4150,TODAS_LOJAS,,,,,
4132,BETH,Não,19,OS_ENTREGUES_DIA,20,"[4132, 'BETH', 'Não']",2024-04-20 00:00:00,,maua,abr_24.xlsx,4132,TODAS_LOJAS,,,,,
4168,1,130,35,OS_ENTREGUES_DIA,20,"[4168, 1, 130]",2024-04-20 00:00:00,,maua,abr_24.xlsx,4168,TODAS_LOJAS,,,,,
4169,5,700,36,OS_ENTREGUES_DIA,20,"[4169, 5, 700]",2024-04-20 00:00:00,,maua,abr_24.xlsx,4169,TODAS_LOJAS,,,,,
4178,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,17,"[4178, 'ROGÉRIO', 'Não']",2024-04-17 00:00:00,,maua,abr_24.xlsx,4178,TODAS_LOJAS,,,,,
4177,BETH,Não,16,OS_ENTREGUES_DIA,17,"[4177, 'BETH', 'Não']",2024-04-17 00:00:00,,maua,abr_24.xlsx,4177,TODAS_LOJAS,,,,,
4170,BETH,Não,17,OS_ENTREGUES_DIA,17,"[4170, 'BETH', 'Não']",2024-04-17 00:00:00,,maua,abr_24.xlsx,4170,TODAS_LOJAS,,,,,
4036,BETH,Não,18,OS_ENTREGUES_DIA,17,"[4036, 'BETH', 'Não']",2024-04-17 00:00:00,,maua,abr_24.xlsx,4036,TODAS_LOJAS,,,,,
4093,BETH,Não,19,OS_ENTREGUES_DIA,17,"[4093, 'BETH', 'Não']",2024-04-17 00:00:00,,maua,abr_24.xlsx,4093,TODAS_LOJAS,,,,,
4154,BETH,Não,15,OS_ENTREGUES_DIA,16,"[4154, 'BETH', 'Não']",2024-04-16 00:00:00,,maua,abr_24.xlsx,4154,TODAS_LOJAS,,,,,
