Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 9
,            DATA DE COMPRA         ,,2025-01-30 00:00:00,,LOJA,SÃO MATEUS,
,             CONSULTOR  ,,,,OS N°,,
,VENDA,,GARANTIA,,ANEXA À:,,
NOME: ,,,,,  DT NASC.:,,
CPF,,,RG,, CEP:,,
END: ,,,,,Nº,,
BAIRRO:,,,,COMP ,,,
TELEFONE :,,,COMO CONHECEU ,,CELULAR:,,
EMAIL:,,,,,PREV DE ENTR:,,
VTA?,,,,,,,
PONTE,,DIAG MAIOR,,HORIZON/VERTIC,,,
LONGE,,ESF,CIL,EIXO,DNP,ALTURA,
,OD,,,,,,
,OE,,,,,,
PERTO,,ESF,CIL,EIXO,DNP,ALTURA,
,OD,,,,,,
,OE,,,,,,
ADIÇÃO,0,OBS:,,,,,
ITENS,COD,DESCRIÇÃO,,,VALOR,,
ARMAÇÃO,,,,,,,
LENTES,,,,,,,
CONSERT/GARAN,,,,,,,
BRINDES,,,,,,,
ACESSÓRIOS,,,,,,,
,,TOTAL,,,,0,
SINAL 1:,,PAGTO 1,,,RESTA ,0,
SINAL 2:,,PAGTO 2,,,,,
ARMAÇÃO COM GARANTIA: ,,SIM,,,,,
ASSINATURA CLIENTE:,,,,,,,
NOME CLIENTE: ,,,,,OS N,,
DATA DE COMPRA ,,2025-01-30 00:00:00,,PREVISÃO DE ENTREGA,,,
FORMA DE PAGTO:,,,,,,,
PRODUTO:,,,,,,, 
VALOR,0,ENTRADA,,RESTANTE,0,,
TELEFONE: (11) 2019-4098,,,WHATSAPP: (11) 95398-9706,,,,
"RUA TITA RUFFO, 1046 - SÃO MATEUS - SÃO PAULO - SP",,,,,,,
